Facility ID,Name,City,Site Address,Work Area,# of Attempts,# of Pos Buys,Most Recent was pos,Had AC,In Appeal,Days Since Last Attempt,Priorty,Can Visit
457,MYRA DISCOUNT TOBACCO,COLUMBUS,7095 E BROAD ST STE B,7,4,1,0,0,0,7,1,0
458,N & N SUPERMARKET,COLUMBUS,2240 SULLIVANT AVE,10,3,0,0,0,0,32,1,1
459,N HIGH BP,COLUMBUS,5385 N HIGH ST,6,2,0,0,0,0,17,5,1
460,NA SMOKE SHOP,COLUMBUS,5597 N HAMILTON RD,4,2,0,0,0,0,20,5,1
461,NABBY'S CARRYOUT,COLUMBUS,1235 E HUDSON ST,9,2,1,0,0,1,2,5,0
462,NATURAL NECESSITIES,COLUMBUS,3130 E LIVINGSTON AVE,11,1,0,0,0,0,5,10,0
463,NAZANA'S PARADISE DRIVE THRU,COLUMBUS,1540 W MOUND ST,10,3,0,0,0,0,23,1,1
464,NELSON CONVENIENCE STORE,COLUMBUS,155 NATIONWIDE BLVD STE 115,13,2,0,0,0,0,23,5,1
465,NEPALI BAZAAR,COLUMBUS,1782 MORSE RD,4,5,1,1,0,0,24,6,1
466,NEPALI MART,COLUMBUS,1480 MORSE RD,4,1,0,0,0,0,22,10,1
467,NEW BOTTLE CAP BEVERAGE,COLUMBUS,3020 E LIVINGSTON AVE,11,3,1,0,0,0,35,1,1
468,NIELSEN'S  #17,COLUMBUS,400 N HIGH ST STE 101-3,10,5,0,0,0,0,6,1,0
469,NIELSONS,COLUMBUS,3 NATIONWIDE PLZ,10,5,2,0,0,0,33,1,0
470,NOE BIXBY DRIVE THRU,COLUMBUS,2960 NOE BIXBY RD,12,5,0,0,0,0,4,1,0
471,NOE BIXBY MARATHON,COLUMBUS,4755 REFUGEE RD,12,2,0,0,0,0,27,5,1
472,NORTH BROADWAY SUNOCO,COLUMBUS,700 E NORTH BROADWAY ST,6,3,1,0,0,0,20,1,1
473,NORTH CAMPUS FOOD MART,COLUMBUS,2424 N HIGH ST,8,1,1,1,0,0,30,15,1
474,NORTH LINDEN MARKET,COLUMBUS,1580 JOYCE AVE,9,4,1,0,0,0,9,1,0
475,NORTHLAND MARKET,COLUMBUS,4312 KARL RD,6,3,0,0,0,0,9,1,0
476,NORTHWEST CARRYOUT,COLUMBUS,1281 W 5TH AVE,8,1,0,0,0,0,15,10,1
477,NORTHWEST WINE & SPIRITS,COLUMBUS,821 BETHEL RD,3,1,0,0,0,0,26,10,1
478,NORTON MARATHON,COLUMBUS,385 NORTON RD,11,2,1,0,0,1,26,5,0
479,NORTON ROAD DRIVE THRU,COLUMBUS,550 NORTON RD,11,4,1,0,0,1,33,1,0
480,NORTON SUNOCO,COLUMBUS,552 NORTON RD,11,1,0,0,0,0,13,10,0
481,NV BAR & LOUNGE,COLUMBUS,797 ST CLAIR AVE,9,2,1,0,0,0,15,5,1
482,ONE STOP,COLUMBUS,4305 EASTLAND SQUARE DR,12,3,0,0,0,0,33,1,1
483,ONE STOP MARKET,COLUMBUS,1447 S HAMILTON RD,11,2,1,0,0,0,13,5,0
484,OUT OF THIS WORLD FLOWER COMPANY,COLUMBUS,1505 FREBIS AVE UNIT A,14,5,3,1,1,0,5,6,0
485,OUTLET SMOKE SHOP,COLUMBUS,6091 MCNAUGHTEN CTR,7,3,0,0,0,0,18,1,1
486,PACE HIGH CARRYOUT,COLUMBUS,3179 N HIGH ST,6,5,1,0,0,1,25,1,0
487,PAK SMOKE,COLUMBUS,6116 BOARDWALK ST,4,1,0,0,0,0,12,10,0
488,PALMER'S BEVERAGE CENTER,COLUMBUS,3375 INDIANOLA AVE,6,3,2,0,1,0,4,1,0
489,PARADISE SMOKE N VAPE,HILLIARD,2127 HILLIARD  ROME RD,5,4,1,0,0,1,35,1,0
490,PARKVILLE MARKET,COLUMBUS,5705 PARKVILLE ST,4,5,2,1,0,0,26,6,0
491,PARKWOOD MARKET,COLUMBUS,2207 PARKWOOD AVE,9,4,0,0,0,0,20,1,1
492,PARSONS EXPRESS,COLUMBUS,1526 PARSONS AVE,13,2,0,0,0,0,27,5,1
493,PARSONS MARATHON,COLUMBUS,959 PARSONS AVE,14,3,1,0,0,0,21,1,1
494,PERFECT POUR BEVERAGE,DUBLIN,2827 FESTIVAL LN,2,4,1,0,0,0,15,1,1
495,PHARAOHS HOOKAH CAFE,COLUMBUS,1460 N HIGH ST,9,1,0,0,0,0,17,10,1
496,PICK & GO,COLUMBUS,805 E MAIN ST,14,4,0,0,0,0,33,1,1
497,PILOT TRAVEL CENTER #213,COLUMBUS,3600 INTERCHANGE RD,10,2,0,0,0,0,7,5,0
498,PIZZA CHATEAU,COLUMBUS,2602 EAKIN RD,10,4,1,0,0,0,4,1,0
499,PJ'S DRIVE THRU,COLUMBUS,1973 HARD RD,1,1,0,0,0,0,10,10,0
500,PJ'S GRILL,COLUMBUS,15 E FRAMBES AVE,8,5,3,0,1,1,7,1,0
501,PLANET 7 SMOKE SHOP,COLUMBUS,1721 S HIGH ST,13,5,2,0,1,1,27,1,0
502,PLANET PUFF,COLUMBUS,2530 SULLIVANT AVE,10,5,2,0,1,0,17,1,1
503,PLANET PUFF,COLUMBUS,383 WILSON AVE,14,1,0,0,0,0,21,10,1
504,PLAZA FOOD,COLUMBUS,1050 MT VERNON AVE,13,2,0,0,0,0,34,5,1
505,POWELL SHELL,POWELL,2080 SUMMIT ROW BLVD,2,5,2,1,0,0,30,6,0
506,POWER FLOWER,COLUMBUS,958 W BROAD ST,13,3,0,0,0,0,26,1,1
507,PUFF AVE,COLUMBUS,4382 INDIANOLA AVE,6,4,1,0,0,1,5,1,0
508,PUFF CRAZE,COLUMBUS,2792 STELZER RD,7,4,1,0,0,1,1,1,0
509,PUFF PALACE,COLUMBUS,5562 N HIGH ST,6,4,0,0,0,0,31,1,1
510,QUARRY MARKET,COLUMBUS,2954 MCKINLEY AVE,8,5,3,0,1,0,11,1,0
511,QUENCHING CAVERNS,COLUMBUS,5250 GODOWN RD,2,3,1,0,0,0,17,1,1
512,QUICK & EASY MART,COLUMBUS,4197 CLEVELAND AVE,6,1,0,0,0,0,8,10,0
513,QUICK AND COLD DRIVE THRU,COLUMBUS,1550 LOCKBOURNE RD,14,1,0,0,0,0,16,10,1
514,QUICK CARRYOUT,COLUMBUS,2934 S HIGH ST,12,3,0,0,0,0,34,1,1
515,QUICK STOP,COLUMBUS,2776 E 5TH AVE,11,5,1,0,0,0,26,1,1
516,RAMA  FOODMART & DELI,COLUMBUS,334 N 20TH ST,13,0,0,0,0,0,0,20,1
