Facility ID,Name,Site Address,City
317,ISLANDS DRIVE THRU,2157 HILLIARD ROME RD,HILLIARD
318,ISMOKE & VAPE,1403 S HAMILTON RD,COLUMBUS
319,J & N CARRYOUT,1541 E WHITTIER ST,COLUMBUS
320,J & S STOP N SHOP,6867 FLAGS CENTER DR,COLUMBUS
321,J KHAN DRIVE THRU,1436 S HAMILTON RD,COLUMBUS
322,JAFRA CAFE,40 N JAMES RD,COLUMBUS
323,JAYA & JASMINE LLC,1326 OAKLAND PARK AVE,COLUMBUS
324,JAYS DRIVE THRU,766 PARSONS AVE,COLUMBUS
325,JEDDO HOOKAH,5615 CLEVELAND AVE,COLUMBUS
326,JEFF RUBYS,89 E NATIONWIDE BLVD 1ST FLR,COLUMBUS
327,JEFFERSON SMOKE PLUS,1043 E HUDSON ST,COLUMBUS
328,JERUSALEM HALAL MARKET,5410 ROBERTS RD,HILLIARD
329,JHORNZ ENTERTAINMENT STUDIOS,1142 S HIGH ST,COLUMBUS
330,JR J'S DRIVE THRU,2179 PARKWOOD AVE,COLUMBUS
331,JULIAN FOODS,3277 W BROAD ST,COLUMBUS
332,JULIAN WIRELESS II,2562 MORSE RD,COLUMBUS
333,K & K MART LLC,620 HARRISBURG PIKE,COLUMBUS
334,KARL BEVERAGE COMPANY,6733 KARL RD,COLUMBUS
335,KARL ROAD MARKET,3663 KARL RD,COLUMBUS
336,KELLY'S MARKET,3453 PARSONS AVE,COLUMBUS
337,KEYSTONE PUB,1081 GEMINI PL,COLUMBUS
338,KHAN SMOKE AND BEER SHOP,6044 CHANNINGWAY BLVD,COLUMBUS
339,KIMBERLY MARKET,4295 KIMBERLY PKWY,COLUMBUS
340,KIMS MARKET 1ST FLOOR ONLY,1327 E LIVINGSTON AVE,COLUMBUS
341,KING LINCOLN DRIVE THRU,1232 MT VERNON AVE,COLUMBUS
342,KINGS LOUNGE,3070 N HIGH ST,COLUMBUS
343,KOSHELI MART,59 N WAGGONER RD,BLACKLICK
344,KROGER #273,60 WORTHINGTON SQ,WORTHINGTON
345,KROGER #315,2000 E MAIN ST,COLUMBUS
346,KROGER #519,1585 GEORGESVILLE SQ DR,COLUMBUS
347,KROGER #569,150 W SYCAMORE ST,COLUMBUS
348,KROGER #587,1350 N HIGH ST,COLUMBUS
349,KROGER #587 LIQUOR STORE,1300 N HIGH ST,COLUMBUS
350,KROGER #598,3600 SOLDANO BLVD,COLUMBUS
351,KROGER #623,5800 W BROAD ST,GALLOWAY
352,KROGER #815,3637 S HIGH ST,COLUMBUS
353,KROGER #818,2090 CROWN PLAZA DR,COLUMBUS
354,KROGER #839,1177 POLARIS PKWY,COLUMBUS
355,KROGER #853,7000 E BROAD ST,COLUMBUS
356,KROGER #867,2525 HILLIARD ROME RD,HILLIARD
357,KROGER #871 FUEL CENTER,5420 N HAMILTON RD,COLUMBUS
358,KROGER #879,1425 WORTHINGTON CTR DR,COLUMBUS
359,KROGER #881,5161 HAMPSTED VILLAGE CENTER WY,NEW ALBANY
360,KROGER #893,1441 PARSONS AVE,COLUMBUS
361,KROGER #942,1375 CHAMBERS RD,COLUMBUS
362,KROGER #971,3417 N HIGH ST,COLUMBUS
363,KROGER #990,2161 EAKIN RD,COLUMBUS
364,KROGER #N-514,3588 GENDER RD,COLUMBUS
365,KROGER #N-819,199 GRACELAND BLVD,COLUMBUS
366,KROGER FUEL CENTER #315,2000 E MAIN ST,COLUMBUS
367,KROGER FUEL CENTER #519,1585 GEORGESVILLE SQUARE DR,COLUMBUS
368,KROGER FUEL CENTER #598,85 N WILSON RD,COLUMBUS
369,KROGER FUEL CENTER #623,5750 W BROAD ST,GALLOWAY
370,KROGER FUEL CENTER #815,3637 S HIGH ST,COLUMBUS
371,KROGER FUEL CENTER #818,2090 CROWN PLAZA DR,COLUMBUS
372,KROGER FUEL CENTER #839,1177 POLARIS PKWY,COLUMBUS
373,KROGER FUEL CENTER #853,77 N REYNOLDSBURG NEW ALBANY RD,COLUMBUS
374,KROGER FUEL CENTER #879,1425 WORTHINGTON CENTRE DR,COLUMBUS
375,KROGER FUEL CENTER #881,5161 HAMPSTED VILLAGE CENTER WY,NEW ALBANY
376,KROGER FUEL CENTER #893,1415 PARSONS AVE,COLUMBUS
377,KROGER FUEL CENTER #942,1765 NORTHWEST BLVD,COLUMBUS
